scenario	year	period	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
1	19	before	1.01416555403146	0.991021670922211	0.998725174071928	1.00321497460055	1.00356655186961	1.00071631697945	1.00950086659101	1.15159888826931	1.08697757026438	1.00283822138127	1.02533019076247	1.03520798313399	1.00624809793512	1.09921942492816	0.798268931159289	0.681857366849286	0.981132075471698	0.97598272756808	0.965984475436338	0.99205437655027	0.888159869732991
0	20	before	1	1	1	1	1	1	1	1.11952493750794	1.07865900363349	1.00378787878788	1.02739721644968	1.02741387525221	1.00424487888774	1.06651793085834	0.786575646760462	0.833663550136126	0.986717267552182	0.966883259988666	0.965417791381321	0.99507638236549	0.927943504473806
1	20	before	1.0007695241408	0.998699723790024	0.999988292669023	0.998927237770116	1.0049854670213	1.00036884275541	1.00653656333717	1.10830032863292	1.07389025094196	1.00378787878788	1.02182086199737	1.03579614597399	1.00665933154023	1.10534499430518	0.793220990438775	0.771672088642677	0.984848484848485	0.972280561983766	0.975442621941026	0.992897881046644	0.904905550470036
0	21	before	1	1	1	1	1	1	1	1.10169432065801	1.07625514613813	1.00283822138127	1.02454811887778	1.03042575891698	1.00437788378397	1.06531363063812	0.859624641408177	0.840311869976447	0.98391674550615	0.974357816057674	0.933694939674544	0.985440660555782	0.821161195726728
1	21	before	0.995746758912035	1.0045687725825	0.999951814232369	1.00421615967772	1.0103000408065	1.00181899989446	1.02671154777213	1.12678074175713	1.08548678422728	1.00283822138127	1.02808435434712	1.04258066537102	1.00784637471303	1.1247103523548	0.823311751017286	0.761841728733264	0.984848484848485	0.97758006140973	0.979232900438753	0.996601271454731	0.949425237930658
0	22	before	1	1	1	1	1	1	1	1.10884528674088	1.07893351120316	1.00189035916824	1.0214488971401	1.02905812481295	1.00475147632898	1.07449639084113	0.838576214546005	0.845038437586264	0.98391674550615	0.976814943044596	0.959999736511605	0.993392492061503	0.907135715679774
1	22	before	0.991526320668949	0.997829063445272	0.999679215970338	1.00326229853253	1.01204411196783	1.0021251206676	1.03231286431042	1.12188259092455	1.0837213334973	1.00189035916824	1.02774206761569	1.03711464168483	1.00670121724373	1.11022966077983	0.76878584054065	0.788016218324898	0.983893496055642	0.971929729073146	0.972225016135941	0.995361191246318	0.930917931512566
0	23	before	1	1	1	1	1	1	1	1.13403911210075	1.09681716776304	1.00283822138127	1.02034524044801	1.03198861018209	1.0051442554715	1.07627666034567	0.82120194102277	0.638013972952117	0.984848484848485	0.965861013252492	0.961755714860088	0.993300676509712	0.904088221329371
1	23	before	0.980931846710975	1.01823073028259	0.999498231929776	1.00796124659972	1.01539871065132	1.0025345439794	1.0387548192612	1.08190210634018	1.10245331237171	1.00283822138127	1.03617657418488	1.04027965053506	1.00646171936515	1.10463264778653	0.787517988568728	0.792991543983241	0.98391674550615	0.978934679371055	0.977653322390481	0.995591251588677	0.934939812107173
0	24	before	1	1	1	1	1	1	1	1.12301489384492	1.07178364272924	1.00283822138127	1.02399295726898	1.03553985219029	1.00592468529412	1.08935612898537	0.868370222131706	0.877459109074277	0.98391674550615	0.963232173963767	0.92695341357234	0.979614954901338	0.76792159241142
