PFT	scenario	year	period	mean.effects.Inds	mean.effects.seedlings	mean.effects.seeds	mean.effects.cover	mean.effects.shootmass	min.effects.Inds	min.effects.seedlings	min.effects.seeds	min.effects.cover	min.effects.shootmass	max.effects.Inds	max.effects.seedlings	max.effects.seeds	max.effects.cover	max.effects.shootmass
MECIcl4plb	1	21	before	1.15806602746024	1.07829404631225	1.16412059591396	1.00072340737349	1.23731626746498	2.79279069767442	2.32738256447293	3.93351310719651	1.00854145516262	3.57468275120116	0.125	0.0287769784172662	0.0134348410210479	0.994156668652528	0.000282032201832487
MECIcl4plb	0	22	before	1	1	1	1	1	2.47602739726027	1.98408590026139	2.68013100436681	1.00623603551191	3.16238334225408	0.136986301369863	0.0278745644599303	0.0163755458515284	0.995746912118202	0.000266955441265999
MECIcl4plb	1	22	before	1.28758787248332	1.22443455408052	1.34174149551995	1.00101303326129	1.38144873887595	4.16957364341086	3.45056985762663	5.02183406113537	1.01193653783681	5.76978848730342	0.137931034482759	0.0418118466898955	0.0163755458515284	0.995839289342884	0.000273231949525534
MECIcl4plb	0	23	before	1	1	1	1	1	2.51844262295082	1.9047619047619	2.50510551395507	1.00537599396301	4.17144143870569	0.181818181818182	0.0396039603960396	0.0474657028497881	0.997025837529259	0.000368970802620896
MECIcl4plb	1	23	before	1.66093602160056	1.53760134154707	2.03795451990726	1.00192029569987	2.52248027609979	5.19795150501672	4.63919037473367	8.45697329376855	1.01297403251235	8.78465557033854	0.181818181818182	0.0716845878136201	0.0386100386100386	0.997025837529259	0.000368970802620896
MECIcl4plb	0	24	before	1	1	1	1	1	2.72962382445141	1.90725359911406	4	1.00469896267609	4.54190655757958	0.210526315789474	0.0688235761082238	0.0384615384615385	0.997794271294244	0.000716236255829134
MECIcl4plb	1	24	before	1.86558137367201	1.71605491619993	2.47694708034505	1.00208231642283	2.68824992694285	6.38297872340426	6.27032348804501	11.2296296296296	1.0133733611183	12.2160763097082	0.210526315789474	0.0732600732600733	0.037593984962406	0.997794271294244	0.000716236255829134
MECIcl4plb	0	25	before	1	1	1	1	1	2.81111741349971	2.08978303108808	3.8695652173913	1.00501339437915	4.27480233831712	0.2375	0.0689655172413793	0.0278551532033426	0.997727886035963	0.000462398451520065
MECIcl4plb	1	25	before	1.55849846138592	1.50575072936214	1.94523448606769	1.00175340250743	1.98102739725323	5.16308243727599	4.29037267080746	8.45652173913044	1.01176520979007	8.86741945079542	0.2375	0.0689655172413793	0.0278551532033426	0.997689947996027	0.000462398451520065
MECIcl4plb	0	26	during	1	1	1	1	1	2.62511259232571	1.94174757281553	3.82536382536383	1.00509084356166	3.48183512209296	0.15625	0.0380952380952381	0.0185251843934843	0.995952371261418	0.000438678358614733
