Time	scenario	period	year	week	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
240	2	before	8	30	1.02445848216642	0.995091001866086	1.01353179972936	1.00008472662834	1.0022025111217	0.999935770338215	1.00078811407652	1.13177667118298	1.02745246753019	1.05548037889039	1.01969157044503	1.04801184185392	1.00629944250797	1.10384161977741	0.913233974415372	0.92397586753941	0.933694181326116	0.952183176831684	0.935577951784913	0.983466662186003	0.800533553793405
241	0	before	9	1	1	1	1	1	0.999999999999998	1	1.00000000000001	1.09711342418714	1.06249077084824	1	1.02081128489517	1.03293501499468	1.00498258063626	1.0814006417842	0.826054297671424	0.501411942971279	1	0.978425388834444	0.955619428006099	0.991223179562935	0.877080436854735
241	1	before	9	1	1.02077476124048	1.02545821035614	1	1.00188388413314	0.999764162406446	1.00013348840708	1.00059529564164	1.1196480309046	1.0755824315006	1	1.02280850799914	1.02529993135998	1.00410288987339	1.06518508101376	0.873055048824981	0.860763958028431	1	0.965955794694517	0.955353750225478	0.992396652502961	0.89113567305778
241	2	before	9	1	1.02309260650284	1.0177297979507	1	0.997997888035189	1.00264333845819	0.99996487935539	1.00081155350652	1.10612726687413	1.05114645159717	1	1.01713532485174	1.0448042635182	1.00597334640343	1.10032701443758	0.911685803197768	0.953440051584091	1	0.957457983769507	0.936550467290694	0.984859805184585	0.808774474441786
242	0	before	9	2	1	1	1	1.00000000000001	1	1	1	1.09658154859967	1.04011371947285	1	1.01849756227581	1.03556818161938	1.00544406203396	1.09209291049797	0.855642504118616	0.678025468572986	1	0.976955409655796	0.95441318539962	0.990904454457104	0.870990832738883
242	1	before	9	2	1.02898476112026	1.0065970917643	1	1.00256382756797	1.00006396329364	1.00014276006663	1.00077483425843	1.1266989291598	1.07139015960879	1	1.02114297475606	1.02452225138237	1.00446249621869	1.07326995722885	0.885759884678748	0.508528243442846	1	0.962101791737805	0.956584737890634	0.991709482790017	0.880633742106759
242	2	before	9	2	1.02316721581549	1.01563621241019	1	0.999713134755418	1.00381268970344	1.00020932887905	1.00506730265337	1.09426482701812	1.05559060989775	1	1.01777814898012	1.04635353785846	1.00608390504777	1.10475821187591	0.908927100494234	0.976431531699482	1	0.955735466075494	0.937676323454807	0.984986341689581	0.806775253086588
243	0	before	9	3	1	1	1	1	1	1	1	1.08638180141408	1.04992042312166	1	1.01772585647671	1.0368513550276	1.00525856320068	1.08954960525126	0.87058100215186	0.519312397345452	1	0.979366939596268	0.953434960897745	0.991586233598947	0.877799499131061
243	1	before	9	3	1.02591454042422	1.00679248283918	1	1.00205317140769	1.00150626526598	1.00027092935896	1.00303008244686	1.13894866277283	1.06002693947457	1	1.02105110641182	1.02583185943353	1.00438680277007	1.07268611126257	0.878881032892715	0.527428321353887	1	0.958520874722583	0.957582245933414	0.991573783285521	0.877647766318388
243	2	before	9	3	1.02477712880418	1.01260820841883	1	0.999712145554587	1.00538388666798	1.00046311549692	1.0092831460791	1.11404857055026	1.05888277021542	1	1.01908959550871	1.04688917162034	1.00644991989373	1.11355905872651	0.893636643098678	0.527432066588778	1	0.959710170337736	0.942232613682241	0.986062019234654	0.815797211068229
244	0	before	9	4	1	1	1	1	0.999999999999994	1.00000000000001	1	1.07522172342056	1.04122251093503	1	1.01698008158064	1.03755648427293	1.00487524360209	1.0825597850112	0.851855907149896	0.681492591574601	1	0.978970783077872	0.954447969138923	0.991529504295682	0.87571963710754
