Application rate	PFT	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	MECIcl3p	23	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	23	26	30	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	23	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	24	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	24	27	30	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	24	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	25	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	25	26	30	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	25	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl4p	1	30	30	0	0	0	9	0	0	20	0	0	1	0	0	0	0	0	0
90	MECIcl4p	1	23	30	0	7	0	0	0	0	21	0	0	9	0	0	0	0	0	0
260	MECIcl4p	1	30	30	0	0	0	9	0	0	6	0	0	11	0	0	4	0	0	0
0	MECIcl4p	2	30	30	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	21
90	MECIcl4p	2	9	30	0	19	0	0	2	0	0	0	0	0	0	0	2	0	0	28
260	MECIcl4p	2	27	30	0	3	0	0	0	0	0	0	0	1	0	0	10	0	0	19
0	MECIcl4p	3	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	3	0	30	0	24	0	0	6	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl4p	3	20	30	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl4p	4	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	4	8	30	0	8	0	0	12	0	0	2	0	0	0	0	0	0	0	30
260	MECIcl4p	4	19	30	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl4p	5	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	5	19	30	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl4p	5	28	30	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl4p	6	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	6	19	30	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl4p	6	26	30	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl4p	7	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	7	28	30	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl4p	7	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl4p	8	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	8	7	30	0	13	0	0	10	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl4p	8	26	30	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl4p	9	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	9	10	30	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl4p	9	28	30	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl4p	10	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	10	0	30	0	3	0	0	19	0	0	6	0	0	2	0	0	0	0	30
260	MECIcl4p	10	11	29	0	4	1	0	4	0	0	3	0	0	3	0	0	5	0	30
0	MECIcl4p	11	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	11	8	30	0	4	0	0	12	0	0	5	0	0	1	0	0	0	0	30
260	MECIcl4p	11	13	29	0	10	0	0	2	1	0	2	0	0	1	0	0	2	0	30
0	MECIcl4p	12	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	12	1	30	0	12	0	0	11	0	0	6	0	0	0	0	0	0	0	30
