PFT	scenario	year	period	mean.effects.Inds	mean.effects.seedlings	mean.effects.seeds	mean.effects.cover	mean.effects.shootmass	min.effects.Inds	min.effects.seedlings	min.effects.seeds	min.effects.cover	min.effects.shootmass	max.effects.Inds	max.effects.seedlings	max.effects.seeds	max.effects.cover	max.effects.shootmass
MSCTcl2plb	0	12	before	1	1	1	1	1	3.34324659231723	2.83982593447607	3.64243796612151	1.01838698006065	3.97673152546689	0.0940438871473354	0.0271985494106981	0.0116309123804601	0.990954590256622	0.000225344526881031
MSCTcl2plb	1	12	before	1.48907644286127	1.457948520552	1.76591151622048	1.00413592746885	1.65548794747518	3.90788504053058	3.76562042608554	6.01212529471202	1.02294683472907	4.67246813533747	0.110294117647059	0.0285639189967208	0.0116309123804601	0.991035633373279	0.000227555237099586
MSCTcl2plb	2	12	before	1.19169228129825	1.20600603414478	1.48955940807603	1.00189132733558	1.29657648092396	3.67371995820272	3.00558252427185	3.92051195688784	1.02137144488436	4.4747894050397	0.101503759398496	0.027972027972028	0.0155078831739468	0.990954590256622	0.000223123198656691
MSCTcl2plb	0	13	before	1	1	1	1	1	3.5652772424426	3.04830508474577	4.02890377158971	1.02172662399333	4.32742380949128	0.0890207715133531	0.0219941348973607	0.0127569099929128	0.990066189043446	0.000229850034178865
MSCTcl2plb	1	13	before	1.43329317503439	1.27209811433214	1.70435438648813	1.00305104834468	1.52169643405597	3.6	3.32596445600347	4.97944720056697	1.01883673968607	4.22274669835205	0.0902527075812274	0.0237623762376238	0.0142775556824672	0.990165892418237	0.000236165090797369
MSCTcl2plb	2	13	before	1.14120915795204	1.06306068485376	1.30557677079877	1.00096717722079	1.15575897603086	3.2661038961039	2.91666666666667	3.33329445548218	1.02020792092491	3.76581091042349	0.0890207715133531	0.0221729490022173	0.0155038759689922	0.990157926891463	0.000231255141015781
MSCTcl2plb	0	14	before	1	1	1	1	1	3.7443669527897	2.72727272727273	4.62200634292558	1.0231118961905	4.80216246421332	0.0940438871473354	0.0229885057471264	0.0110837438423645	0.98991897102748	0.000220540448070911
MSCTcl2plb	1	14	before	1.32281225630459	1.29153250688482	1.49603000025813	1.00277864510666	1.43923820225778	3.47520661157025	3.21816711969257	4.56975687861865	1.02024943734501	4.14249741623865	0.107011070110701	0.0252454417952314	0.0147783251231527	0.990207736465377	0.000220540448070911
MSCTcl2plb	2	14	before	1.03019714621124	1.03712757157265	1.25361986964504	1.000248839195	1.05883641735302	3.49252651880424	3.09313378501365	4.45115911687895	1.0198083476527	4.77482255125277	0.0940438871473354	0.0232894379581863	0.0134336639871023	0.989878785834049	0.000215789616862514
MSCTcl2plb	0	15	before	1	1	1	1	1	3.93765524093393	2.91176470588237	4.71606722706714	1.02340895993563	4.95945755683763	0.0966666666666667	0.0325665908146693	0.00850841793859973	0.989967919329279	0.000221694761993788
